_id;ctapa1;ctapa2;total;fecha;createdAt;updatedAt
1;1101.0101;1101.0101;348.4;2025-01-02;2025-01-02;
2;1101.0101;1101.0101;300;2025-01-03;2025-01-03;
3;1101.0101;1101.0101;377.6;2025-01-06;2025-01-06;
4;1101.0101;1101.0101;400;2025-01-07;2025-01-07;
5;1101.0101;1101.0101;224;2025-01-10;2025-01-10;
6;1101.0101;1101.0101;383;2025-01-09;2025-01-09;
7;1101.0101;1101.0101;411.6;2025-01-10;2025-01-10;
8;1101.0101;1101.0101;350.6;2025-01-13;2025-01-13;
9;1101.0101;1101.0101;656;2025-01-14;2025-01-14;
10;1101.0101;1101.0101;366.2;2025-01-01;2025-01-01;
11;1101.0101;1101.0101;242;2025-01-16;2025-01-16;
12;1101.0101;1101.0101;402;2025-01-17;2025-01-17;
13;1101.0101;1101.0101;419;2025-01-20;2025-01-20;
14;1101.0101;1101.0101;436;2025-01-21;2025-01-21;
15;1101.0101;1101.0101;570;2025-01-22;2025-01-22;
16;1101.0101;1101.0101;389;2025-01-23;2025-01-23;
17;1101.0101;1101.0101;243;2025-01-24;2025-01-24;
18;1101.0101;1101.0101;391;2025-01-27;2025-01-27;
19;1101.0101;1101.0101;422;2025-01-28;2025-01-28;
20;1101.0101;1101.0101;358;2025-01-29;2025-01-29;
21;1101.0101;1101.0101;369;2025-01-30;2025-01-30;
22;1101.0101;1101.0101;402.6;2025-01-31;2025-01-31;
23;1101.0101;1101.0101;337;2025-02-03;2025-02-03;
24;1101.0101;1101.0101;495;2025-02-04;2025-02-04;
25;1101.0101;1101.0101;294;2025-02-05;2025-02-05;
26;1101.0101;1101.0101;218;2025-02-06;2025-02-06;
27;1101.0101;1101.0101;613;2025-02-07;2025-02-07;
28;1101.0101;1101.0101;471;2025-02-10;2025-02-10;
29;1101.0101;1101.0101;329.2;2025-02-11;2025-02-11;
30;1101.0101;1101.0101;332;2025-02-12;2025-02-12;
31;1101.0101;1101.0101;180;2025-02-13;2025-02-13;
32;1101.0101;1101.0101;451;2025-02-14;2025-02-14;
33;1101.0101;1101.0101;4100.6;2025-02-17;2025-02-17;
34;1101.0101;1101.0101;419;2025-02-18;2025-02-18;
35;1101.0101;1101.0101;488;2025-02-19;2025-02-19;
36;1101.0101;1101.0101;571;2025-02-20;2025-02-20;
37;1101.010101;1101.0101;435;2025-02-21;2025-02-21;
38;1101.0101;1101.0101;606;2025-02-24;2025-02-24;
39;1101.0101;1101.0101;643.8;2025-02-25;2025-02-25;
40;1101.0101;1101.0101;188;2025-02-26;2025-02-26;
41;1101.0101;1101.0101;154;2025-02-27;2025-02-27;
42;1101.0101;1101.0101;380.4;2025-02-28;2025-02-28;
43;1101.0101;1101.0101;504;2025-03-03;2025-03-03;
44;1101.0101;1101.0101;717;2025-03-04;2025-03-04;
45;1101.0101;1101.0101;143;2025-03-05;2025-03-05;
46;1101.0101;1101.0101;461;2025-03-06;2025-03-06;
47;11.010.101;1101.0101;395;2025-03-07;2025-03-07;
48;1101.0101;1101.0101;402;2025-03-10;2025-03-10;
49;1101.0101;1101.0101;519;2025-03-11;2025-03-11;
50;1101.0101;1101.0101;327;2025-03-12;2025-03-12;
51;1101.0101;1101.0101;288;2025-03-13;2025-03-13;
52;1101.0101;1101.0101;302;2025-03-14;2025-03-14;
53;1101.0101;1101.0101;549;2025-03-17;2025-03-17;
54;1101.0101;1101.0101;325;2025-03-18;2025-03-18;
55;1101.0101;1101.0101;403.8;2025-03-19;2025-03-19;
56;1101.0101;1101.0101;824;2025-03-20;2025-03-20;
57;1101.0101;1101.0101;304;2025-03-21;2025-03-21;
58;1101.0101;1101.0101;519.4;2025-03-24;2025-03-24;
59;1101.0101;1101.0101;366;2025-03-25;2025-03-25;
60;1101.0101;1101.0101;520.4;2025-03-26;2025-03-26;
61;1101.0101;1101.0101;582;2025-03-27;2025-03-27;
62;1101.0101;1101.0101;611;2025-03-28;2025-03-28;
63;1101.0101;1101.0101;829.2;2025-03-31;2025-03-31;
64;1101.0101;1101.0101;318;2025-04-01;2025-04-01;
65;1101.0101;1101.0101;1018;2025-04-02;2025-04-02;
66;1101.0101;1101.0101;209.2;2025-04-03;2025-04-03;
67;1101.0101;1101.0101;207.6;2025-04-04;2025-04-04;
68;1101.0101;1101.0101;302;2025-04-07;2025-04-07;
69;1101.0101;1101.0101;658.4;2025-04-08;2025-04-08;
70;1101.0101;1101.0101;351;2025-04-09;2025-04-09;
71;1101.0101;1101.0101;767.4;2025-04-10;2025-04-10;
72;1101.0101;1101.0101;293;2025-04-11;2025-04-11;
73;1101.0101;1101.0101;430;2025-04-14;2025-04-14;
74;1101.0101;1101.0101;352;2025-04-15;2025-04-15;
75;1101.0101;1101.0101;445;2025-04-16;2025-04-16;
76;1101.0101;1101.0101;612;2025-04-21;2025-04-21;
77;1101.0101;1101.0101;670;2025-04-22;2025-04-22;
78;1101.0101;1101.0101;394;2025-04-23;2025-04-23;
79;1101.0101;1101.0101;318;2025-04-24;2025-04-24;
80;1101.0101;1101.0101;367;2025-04-25;2025-04-25;
81;1101.0101;1101.0101;322;2025-04-28;2025-04-28;
82;1101.0101;1101.0101;119.2;2025-04-29;2025-04-29;
83;1101.0101;1101.0101;207;2025-04-30;2025-04-30;
84;1101.0101;1101.0101;225;2025-05-05;2025-05-05;
85;1101.0101;1101.0101;387;2025-05-06;2025-05-06;
86;1101.0101;1101.0101;519.6;2025-05-07;2025-05-07;
87;1101.0101;1101.0101;291;2025-05-08;2025-05-08;
88;1101.0101;1101.0101;224;2025-05-09;2025-05-09;
89;1101.0101;1101.0101;263;2025-05-12;2025-05-12;
90;1101.0101;1101.0101;369;2025-05-13;2025-05-13;
91;1101.0101;1101.0101;420;2025-05-14;2025-05-14;
92;1101.0101;1101.0101;255;2025-05-15;2025-05-15;
93;1101.0101;1101.0101;129;2025-05-16;2025-05-16;
94;1101.0101;1101.0101;339;2025-05-19;2025-05-19;
95;1101.0101;1101.0101;466.8;2025-05-20;2025-05-20;
96;1101.0101;1101.0101;475;2025-05-21;2025-05-21;
97;1101.0101;1101.0101;227.6;2025-05-22;2025-05-22;
98;1101.0101;1101.0101;443;2025-05-26;2025-05-26;
99;1101.0101;1101.0101;434;2025-05-27;2025-05-27;
100;1101.0101;1101.0101;717.2;2025-05-28;2025-05-28;
101;1101.0101;1101.0101;398;2025-05-29;2025-05-29;
102;1101.0101;1101.0101;307;2025-05-30;2025-05-30;
103;1101.0101;1101.0101;;2025-06-02;2025-06-02;
104;1101.0101;1101.0101;;2025-06-03;2025-06-03;
105;1101.0101;1101.0101;;2025-06-04;2025-06-04;
106;1101.0101;1101.0101;;2025-06-05;2025-06-05;
107;1101.0101;1101.0101;;2025-06-06;2025-06-06;
108;1101.0101;1101.0101;;2025-06-09;2025-06-09;
109;1101.0101;1101.0101;;2025-06-10;2025-06-10;
110;1101.0101;1101.0101;;2025-06-11;2025-06-11;
111;1101.0101;1101.0101;;2025-06-12;2025-06-12;
112;1101.0101;1101.0101;;2025-06-13;2025-06-13;
113;1101.0101;1101.0101;;2025-06-16;2025-06-16;
114;1101.0101;1101.0101;;2025-06-17;2025-06-17;
115;1101.0101;1101.0101;;2025-06-18;2025-06-18;
116;1101.0101;1101.0101;;2025-06-19;2025-06-19;
117;1101.0101;1101.0101;;2025-06-20;2025-06-20;
